"","sitecode","lon","lat","file","records"
"102","LEF","-90.2732","45.9451","co2_lef_surface-pfp_1_allvalid.nc","2743"
"103","LEW","-76.8789","40.9447","co2_lew_surface-pfp_1_allvalid.nc","333"
"104","LIN","14.1226","52.1166","co2_lin_surface-insitu_425_allvalid.nc","7843"
"105","LJO","-117.2572","32.8669","co2_ljo_surface-flask_426_representative.nc","1283"
"106","LLB","-112.45","54.95","co2_llb_surface-insitu_6_allvalid.nc","72146"
"107","LLN","120.87","23.47","co2_lln_surface-flask_1_representative.nc","388"
"108","LMP","12.62","35.52","co2_lmp_surface-flask_1_representative.nc","437"
"109","LMU","-1.1003","41.5941","co2_lmu_surface-insitu_431_allvalid.nc","6143"
"110","LUT","6.3529","53.4037","co2_lut_surface-insitu_44_allvalid.nc","68520"
"111","MAA","62.867","-67.617","co2_maa_surface-flask_2_representative.nc","688"
"112","MBO","-121.6861","43.9775","co2_mbo_surface-pfp_1_allvalid.nc","869"
"113","MEX","-97.311","18.9841","co2_mex_surface-flask_1_representative.nc","307"
"114","MHD","-9.899","53.326","co2_mhd_surface-insitu_11_representative.nc","52360"
"115","MID","-177.38","28.21","co2_mid_surface-flask_1_representative.nc","1473"
"116","MKN","37.2972","-0.0622","co2_mkn_surface-flask_1_representative.nc","138"
"117","MLO","-155.5763","19.5362","co2_mlo_surface-insitu_1_allvalid.nc","341752"
"118","MNM","153.98","24.28","co2_mnm_surface-insitu_19_representative.nc","156462"
"119","MQA","158.967","-54.483","co2_mqa_surface-flask_2_representative.nc","748"
"120","MRC","-76","41.7","co2_mrc_surface-pfp_1_allvalid.nc","181"
"121","MSH","-70.4973","41.6568","co2_msh_surface-pfp_1_allvalid.nc","65"
"122","MVY","-70.5667","41.325","co2_mvy_surface-insitu_1_allvalid.nc","63987"
"123","MWO","-118.0586","34.2246","co2_mwo_surface-pfp_1_allvalid.nc","2283"
"124","NAT","-35.1853","-5.7952","co2_nat_surface-flask_1_representative.nc","235"
"125","NMB","15.03","-23.58","co2_nmb_surface-flask_1_representative.nc","433"
"126","NOR","17.4795","60.0864","co2_nor_tower-insitu_424_allvalid-101magl.nc","17242"
"127","NWR","-105.5864","40.0531","co2_nwr_surface-pfp_1_allvalid.nc","2320"
"128","OBN","36.6","55.11","co2_obn_surface-flask_1_representative.nc","136"
"129","OFR","-123.5514","44.6465","co2_ofr_surface-insitu_68_allhours.nc","29302"
"130","OLI","-149.8869","70.4953","co2_oli_surface-insitu_64_allvalid-10magl.nc","13426"
"131","OMP","-123.553","44.5043","co2_omp_surface-insitu_68_allhours.nc","60995"
"132","OMT","-121.5572","44.4524","co2_omt_surface-insitu_68_allhours.nc","51534"
"133","ONG","-119.691","43.4712","co2_ong_surface-insitu_68_allhours.nc","53925"
"134","OSI","-122.695","44.9986","co2_osi_tower-insitu_68_allhours.nc","28059"
"135","OTA","142.817","-38.522","co2_ota_surface-flask_2_representative.nc","139"
"136","OWA","-123.629","44.0664","co2_owa_surface-insitu_68_allhours.nc","30881"
"137","OXK","11.8084","50.0301","co2_oxk_surface-flask_1_representative.nc","410"
"138","OYQ","-124.067","44.675","co2_oyq_surface-insitu_68_allhours.nc","18780"
"139","PAL","24.1157","67.9733","co2_pal_surface-flask_1_representative.nc","656"
"140","PDM","0.1411","42.9372","co2_pdm_surface-flask_11_representative.nc","389"
"141","POC","-1e+34","-1e+34","co2_poc_shipboard-flask_1_representative.nc","5391"
"142","PRS","7.7","45.93","co2_prs_surface-insitu_21_allvalid.nc","61519"
"143","PSA","-64","-64.92","co2_psa_surface-flask_4_representative.nc","473"
"144","PTA","-123.7408","38.9546","co2_pta_surface-flask_1_representative.nc","462"
"145","PUY","2.9658","45.7719","co2_puy_surface-insitu_11_allvalid.nc","116939"
"146","PV","-118.3491","33.7443","co2_pv_surface-insitu_115_allhours-200magl.nc","25332"
"147","RBA","-109.0956","36.4614","co2_rba_surface-insitu_3_nonlocal.nc","25269"
"148","RCE","-92.8775","40.7919","co2_rce_surface-insitu_60_allhours.nc","15256"
"149","RGL","-2.54","51.9976","co2_rgl_tower-insitu_160_allvalid-90magl.nc","32072"
"150","RGV","-91.3382","44.091","co2_rgv_surface-insitu_60_allhours.nc","18137"
"151","RK1","-177.9","-29.2","co2_rk1_surface-flask_426_representative.nc","317"
"152","RKW","-89.9724","41.2762","co2_rkw_surface-insitu_60_allhours.nc","16243"
"153","RMM","-96.4559","41.1386","co2_rmm_surface-insitu_60_allhours.nc","16623"
"154","RPB","-59.432","13.165","co2_rpb_surface-flask_1_representative.nc","1238"
"155","RRL","-95.41","43.53","co2_rrl_surface-insitu_60_allhours.nc","18565"
"156","RYO","141.82","39.03","co2_ryo_surface-insitu_19_representative.nc","112118"
"157","SCT","-81.8334","33.4057","co2_sct_surface-pfp_1_allvalid.nc","1753"
"158","SDZ","117.117","40.65","co2_sdz_surface-flask_1_representative.nc","257"
"159","SEY","55.5325","-4.6824","co2_sey_surface-flask_1_representative.nc","1601"
"160","SGP","-97.489","36.607","co2_sgp_surface-insitu_64_allvalid-60magl.nc","98597"
"161","SHM","174.126","52.7112","co2_shm_surface-flask_1_representative.nc","1146"
"162","SIS","-1.255","60.089","co2_sis_surface-flask_2_representative.nc","266"
"163","SMO","-170.5644","-14.2474","co2_smo_surface-insitu_1_allvalid.nc","299109"
"164","SMR","24.2948","61.8474","co2_smr_tower-insitu_421_allvalid-125magl.nc","31189"
"165","SNP","-78.35","38.617","co2_snp_tower-insitu_1_allvalid-17magl.nc","64197"
"166","SPL","-106.73","40.45","co2_spl_surface-insitu_3_nonlocal.nc","70620"
"167","SPO","-24.8","-89.98","co2_spo_surface-insitu_1_allvalid.nc","312890"
"168","SSC","-2.5898","38.3027","co2_ssc_surface-insitu_431_allvalid.nc","16769"
"169","SSL","7.92","47.92","co2_ssl_surface-insitu_107_allvalid.nc","370780"
"170","STM","2","66","co2_stm_surface-flask_1_representative.nc","2668"
"171","STR","-122.4517","37.7553","co2_str_surface-pfp_1_allvalid.nc","4563"
"172","SUM","-38.422","72.5962","co2_sum_surface-flask_1_representative.nc","793"
"173","SYO","39.59","-69.0125","co2_syo_surface-insitu_8_representative.nc","11946"
"174","TAC","1.1386","52.5177","co2_tac_surface-flask_1_representative.nc","48"
"175","TAP","126.1328","36.7376","co2_tap_surface-flask_1_representative.nc","1157"
"176","THD","-124.151","41.0541","co2_thd_surface-flask_1_representative.nc","675"
"177","TIK","128.8887","71.5965","co2_tik_surface-flask_1_representative.nc","251"
"178","TPD","-80.55","42.6167","co2_tpd_surface-insitu_6_allvalid.nc","35392"
"179","TTA","-2.9858","56.5551","co2_tta_tower-insitu_160_allvalid-222magl.nc","18693"
"180","USH","-68.3106","-54.8484","co2_ush_surface-flask_1_representative.nc","321"
