"","gas","station","measurement","number","sample","extension"
"374","co2","smr","tower-insitu","421","allvalid-67magl",".nc"
"375","co2","snp","tower-insitu","1","allvalid-17magl",".nc"
"376","co2","snp","tower-insitu","1","allvalid-17magl","NRT.nc"
"377","co2","songnex2015","aircraft-insitu","114","allvalid",".nc"
"378","co2","spl","surface-insitu","3","nonlocal",".nc"
"379","co2","spo","surface-flask","1","representative",".nc"
"380","co2","spo","surface-flask","2","representative",".nc"
"381","co2","spo","surface-flask","426","representative",".nc"
"382","co2","spo","surface-flask","4","representative",".nc"
"383","co2","spo","surface-insitu","1","allvalid",".nc"
"384","co2","spo","surface-insitu","1","allvalid","NRT.nc"
"385","co2","ssc","surface-insitu","431","allvalid",".nc"
"386","co2","ssl","surface-insitu","107","allvalid",".nc"
"387","co2","start08","aircraft-insitu","59","allvalid",".nc"
"388","co2","stm","surface-flask","1","representative",".nc"
"389","co2","str","surface-pfp","1","allvalid",".nc"
"390","co2","str","surface-pfp","1","allvalid","NRT.nc"
"391","co2","sum","surface-flask","1","representative",".nc"
"392","co2","sum","surface-flask","1","representative","NRT.nc"
"393","co2","syo","surface-flask","1","representative",".nc"
"394","co2","syo","surface-flask","1","representative","NRT.nc"
"395","co2","syo","surface-insitu","8","representative",".nc"
"396","co2","tab","aircraft-pfp","26","representative",".nc"
"397","co2","tac","surface-flask","1","representative",".nc"
"398","co2","tac","tower-insitu","160","allvalid-100magl",".nc"
"399","co2","tac","tower-insitu","160","allvalid-185magl",".nc"
"400","co2","tac","tower-insitu","160","allvalid-54magl",".nc"
"401","co2","tap","surface-flask","1","representative",".nc"
"402","co2","tap","surface-flask","1","representative","NRT.nc"
"403","co2","texaqs2006","aircraft-insitu","114","allvalid",".nc"
"404","co2","tgc","aircraft-pfp","1","allvalid",".nc"
"405","co2","tgc","aircraft-pfp","1","allvalid","NRT.nc"
"406","co2","thd","aircraft-pfp","1","allvalid",".nc"
"407","co2","thd","aircraft-pfp","1","allvalid","NRT.nc"
"408","co2","thd","surface-flask","1","representative",".nc"
"409","co2","thd","surface-flask","1","representative","NRT.nc"
"410","co2","tik","surface-flask","1","representative",".nc"
"411","co2","tik","surface-flask","1","representative","NRT.nc"
"412","co2","tom","aircraft-insitu","1","allvalid",".nc"
"413","co2","tom","aircraft-insitu","1","allvalid","NRT.nc"
"414","co2","tpd","surface-insitu","6","allvalid",".nc"
"415","co2","tpd","surface-insitu","6","allvalid","NRT.nc"
"416","co2","trace-p","aircraft-insitu","428","allvalid-dc8",".nc"
"417","co2","trace-p","aircraft-insitu","428","allvalid-p3b",".nc"
"418","co2","tta","tower-insitu","160","allvalid-222magl",".nc"
"419","co2","ulb","aircraft-pfp","1","allvalid",".nc"
"420","co2","ush","surface-flask","1","representative",".nc"
"421","co2","ush","surface-flask","1","representative","NRT.nc"
"422","co2","uta","surface-flask","1","representative",".nc"
"423","co2","uta","surface-flask","1","representative","NRT.nc"
"424","co2","utdbk","tower-insitu","432","allvalid",".nc"
"425","co2","utmsa","tower-insitu","432","allvalid",".nc"
"426","co2","utmur","tower-insitu","432","allvalid",".nc"
"427","co2","utrpk","tower-insitu","432","allvalid",".nc"
"428","co2","utsug","tower-insitu","432","allvalid",".nc"
"429","co2","utuou","tower-insitu","432","allvalid",".nc"
"430","co2","uum","surface-flask","1","representative",".nc"
"431","co2","uum","surface-flask","1","representative","NRT.nc"
"432","co2","vac","surface-insitu","431","allvalid",".nc"
"433","co2","wao","surface-insitu","13","allvalid",".nc"
"434","co2","wbi","aircraft-pfp","1","allvalid",".nc"
"435","co2","wbi","aircraft-pfp","1","allvalid","NRT.nc"
"436","co2","wbi","surface-pfp","1","allvalid",".nc"
"437","co2","wbi","surface-pfp","1","allvalid","NRT.nc"
"438","co2","wbi","tower-insitu","1","allvalid-379magl",".nc"
"439","co2","wbi","tower-insitu","1","allvalid-379magl","NRT.nc"
"440","co2","wgc","surface-pfp","1","allvalid",".nc"
"441","co2","wgc","surface-pfp","1","allvalid","NRT.nc"
"442","co2","wgc","tower-insitu","1","allvalid-483magl",".nc"
"443","co2","wgc","tower-insitu","1","allvalid-483magl","NRT.nc"
"444","co2","wis","surface-flask","1","representative",".nc"
"445","co2","wis","surface-flask","1","representative","NRT.nc"
"446","co2","wkt","surface-pfp","1","allvalid",".nc"
"447","co2","wkt","surface-pfp","1","allvalid","NRT.nc"
"448","co2","wkt","tower-insitu","1","allvalid-457magl",".nc"
"449","co2","wkt","tower-insitu","1","allvalid-457magl","NRT.nc"
"450","co2","wlg","surface-flask","1","representative",".nc"
"451","co2","wlg","surface-flask","1","representative","NRT.nc"
"452","co2","wpc","shipboard-flask","1","representative",".nc"
"453","co2","wsa","surface-insitu","6","allvalid",".nc"
"454","co2","wsa","surface-insitu","6","allvalid","NRT.nc"
"455","co2","xic","surface-insitu","431","allvalid",".nc"
"456","co2","yon","surface-insitu","19","representative",".nc"
"457","co2","zep","surface-flask","1","representative",".nc"
"458","co2","zep","surface-flask","1","representative","NRT.nc"
"459","co2","zep","surface-insitu","56","allvalid",".nc"
